page_num,student_id
SOH 58,134991
SOH 59,145125
SOH 59,142761
SOH 60,142764
SOH 60,142886
SOH 61,132963
SOH 61,145263
SOH 62,143109
SOH 62,134686
SOH 63,145134
SOH 63,145135
SOH 64,145138
SOH 64,144709
SOH 65,145140
SOH 65,143267
SOH 66,145141
SOH 66,133403
SOH 67,133416
SOH 67,134794
SOH 68,145145
SOH 68,135027
SOH 69,133596
SOH 69,145151
SOH 70,144959
SOH 70,133640
SOH 71,123543
SOH 71,134930
SOH 72,133791
SOH 72,143776
SOH 73,133881
SOH 73,144825
SOH 74,133980
SOH 74,135047
SOH 75,124783
SOH 75,145179
SOH 76,134940
SOH 76,145180
SOH 77,134942
SOH 82,140061
SOH 82,144634
SOH 83,145024
SOH 83,134818
SOH 84,130362
SOH 84,140383
SOH 85,130648
SOH 85,140945
SOH 86,141144
SOH 86,145065
SOH 87,141339
SOH 87,144546
SOH 88,141477
SOH 88,131913
SOH 89,132180
SOH 89,134776
SOH 90,142599
SOH 90,143867
SOH 91,143903
SOH 91,134281
SOH 92,144298
SOH 92,144752
SOH 97,144629
SOH 97,140780
SOH 98,141181
SOH 98,114643
SOH 99,121299
SOH 99,141440
SOH 100,145212
SOH 100,144786
SOH 101,141876
SOH 101,132075
SOH 102,142965
SOH 102,143003
SOH 103,143033
SOH 103,143528
SOH 104,145153
SOH 104,133894
SOH 105,144965
SOH 105,144036
SOH 106,144094
SOH 106,144292
SOH 107,124262
SOH 107,145249
SOH 110,145050
SOH 110,144850
SOH 111,144785
SOH 111,121979
SOH 112,145139
SOH 112,145233
SOH 113,143739
SOH 113,144613
SOH 114,124301
SOH 119,140205
SOH 119,120264
SOH 120,140244
SOH 120,140360
SOH 121,140409
SOH 121,140412
SOH 122,140441
SOH 122,140563
SOH 123,134604
SOH 123,140786
SOH 124,140953
SOH 124,145254
SOH 125,144656
SOH 125,144902
SOH 126,131395
SOH 126,141482
SOH 127,144914
SOH 127,131966
SOH 128,132328
SOH 128,142405
SOH 129,142553
SOH 129,132835
SOH 130,142860
SOH 130,143004
SOH 131,143021
SOH 131,133357
SOH 132,144712
SOH 132,143738
SOH 133,143796
SOH 133,144969
SOH 143,145189
SOH 143,140127
SOH 144,140139
SOH 144,144868
SOH 145,134817
SOH 145,130271
SOH 146,144518
SOH 146,120438
SOH 147,140607
SOH 147,124451
SOH 148,144535
SOH 148,140831
SOH 149,130902
SOH 149,144651
SOH 150,140951
SOH 150,140981
SOH 151,141231
SOH 151,134757
SOH 152,111237
SOH 152,144660
SOH 153,141401
